-1 1:-0.730241 2:-0.278831 3:0.706392 4:-0.141029 5:0.299997 6:0.0771684 7:-0.180741 8:0.551576 9:0.2303 10:-0.0530675 11:0.00724707 12:0.0653756 13:-0.0365657 14:0.0683365 15:0.00232168 16:-0.199514 17:-0.324102 18:-0.147767 19:-0.0649261 20:0.169271 
-1 1:-0.0995697 2:-0.0346194 3:-0.2801 4:0.0790361 5:0.200247 6:0.0675728 7:-0.396738 8:-0.0696273 9:0.144064 10:-0.295271 11:0.0334114 12:-0.198888 13:0.200165 14:-0.469052 15:-0.110619 16:-0.31421 17:0.0574358 18:-0.123711 19:0.446669 20:-0.067598 
-1 1:0.755971 2:-0.0664712 3:-0.194237 4:-0.127239 5:0.461327 6:-0.265241 7:-0.0204918 8:-0.0848334 9:0.211106 10:-0.0697223 11:-0.0211409 12:0.203052 13:0.375544 14:-0.325251 15:-0.397159 16:-0.227228 17:0.230451 18:-0.297843 19:0.35449 20:0.290494 
-1 1:-0.0467777 2:0.0516938 3:-0.214614 4:0.112093 5:0.355909 6:0.0717608 7:-0.32614 8:-0.0111134 9:0.00228818 10:-0.452332 11:-0.0469823 12:-0.570581 13:0.342207 14:-0.270079 15:-0.28503 16:-0.38478 17:0.370655 18:-0.198461 19:0.322413 20:-0.019918 
-1 1:0.622229 2:-0.0858619 3:-0.221994 4:0.00479474 5:0.428947 6:-0.0456266 7:-0.241623 8:-0.0841611 9:0.296034 10:-0.214071 11:-0.048425 12:-0.0321073 13:0.299198 14:-0.368717 15:-0.310858 16:-0.215637 17:0.0514933 18:-0.204795 19:0.362023 20:0.118245 
-1 1:0.521517 2:0.00314983 3:-0.184688 4:0.0305103 5:0.436124 6:-0.241326 7:-0.180441 8:0.0562262 9:0.211303 10:-0.236185 11:-0.0830093 12:-0.110776 13:0.245168 14:-0.227674 15:-0.148688 16:-0.166225 17:-0.00581502 18:-0.0119465 19:0.312435 20:0.153289 
-1 1:-0.563192 2:-0.0620637 3:-0.00226717 4:-0.291154 5:0.241925 6:-0.0202973 7:-0.459369 8:-0.072165 9:0.0296069 10:-0.0549783 11:-0.279617 12:0.0748764 13:0.020153 14:-0.00523873 15:0.0694732 16:-0.217907 17:-0.166108 18:-0.183745 19:0.588989 20:0.231365 
-1 1:-0.489921 2:0.0267819 3:0.0580943 4:-0.28054 5:-0.0642202 6:0.145696 7:-0.121614 8:0.313541 9:-0.191306 10:-0.227521 11:-0.045543 12:-0.145245 13:-0.041044 14:-0.130047 15:-0.148333 16:-0.112433 17:-0.0281879 18:-0.0517784 19:0.254653 20:-0.0192796 
-1 1:-0.0362043 2:0.264242 3:0.0692305 4:-0.268737 5:-0.0413866 6:-0.00774038 7:-0.105877 8:0.366615 9:0.0753683 10:-0.443757 11:-0.0311605 12:-0.033977 13:-0.00178778 14:0.0939968 15:-0.22476 16:-0.140647 17:-0.242853 18:-0.0370854 19:0.493878 20:-0.131636 
-1 1:-0.117151 2:-0.133855 3:-0.19829 4:-0.184759 5:0.00943749 6:0.0210613 7:-0.52798 8:-0.110997 9:0.438203 10:0.166529 11:-0.00694405 12:0.236067 13:0.140387 14:-0.0269034 15:-0.0341367 16:0.0332332 17:-0.539809 18:-0.26693 19:0.30742 20:0.526221 
-1 1:-0.73293 2:-0.274092 3:0.706508 4:-0.142835 5:0.293414 6:0.0784974 7:-0.168861 8:0.548889 9:0.228001 10:-0.0842437 11:0.00333928 12:0.0836224 13:-0.048029 14:0.0721793 15:0.0152479 16:-0.200614 17:-0.316063 18:-0.160354 19:-0.0521398 20:0.141928 
-1 1:-0.672813 2:-0.12474 3:-0.158527 4:-0.230828 5:0.0170269 6:-0.178126 7:-0.548554 8:-0.0225633 9:0.0810005 10:0.101595 11:-0.105891 12:0.249195 13:0.0332596 14:0.111145 15:-0.0215119 16:-0.00692201 17:-0.638219 18:-0.169359 19:0.220153 20:0.362252 
-1 1:-0.851151 2:0.108002 3:0.202657 4:-0.0529832 5:0.106762 6:-0.0925172 7:-0.254583 8:0.0581139 9:0.15843 10:0.0458057 11:-0.138311 12:0.123674 13:-0.0981581 14:0.0641333 15:-0.0425776 16:-0.0390044 17:-0.548931 18:-0.124524 19:0.313357 20:0.220066 
-1 1:-0.720193 2:-0.240051 3:0.606057 4:-0.144035 5:0.271467 6:-0.00870687 7:-0.213165 8:0.326851 9:0.211953 10:0.0397233 11:-0.0784235 12:0.147381 13:0.279384 14:0.269391 15:-0.0364824 16:-0.164059 17:-0.357069 18:-0.183351 19:-0.0667838 20:0.307824 
-1 1:-0.753457 2:-0.253882 3:0.683827 4:-0.139581 5:0.191067 6:0.109819 7:-0.232488 8:0.522414 9:0.192594 10:-0.0194469 11:0.0328037 12:0.0829516 13:-0.0703421 14:0.07326 15:-0.116945 16:-0.0587963 17:-0.336914 18:-0.229231 19:0.120126 20:0.235389 
-1 1:-0.780151 2:-0.191161 3:0.708842 4:-0.125754 5:0.272573 6:0.068839 7:-0.0931483 8:0.530726 9:0.173645 10:-0.110243 11:-0.0315281 12:0.105068 13:-0.108692 14:0.0180231 15:0.0155867 16:-0.292091 17:-0.28904 18:-0.134781 19:-0.0737753 20:0.0114206 
-1 1:-0.719356 2:-0.0562361 3:-0.0791201 4:-0.179742 5:0.0896602 6:-0.161521 7:-0.548715 8:-0.0516986 9:0.0870879 10:0.0829299 11:-0.111878 12:0.244009 13:-0.0216877 14:0.107241 15:0.0116993 16:-0.0412013 17:-0.601171 18:-0.184947 19:0.24293 20:0.360625 
-1 1:-0.449166 2:-0.0677262 3:-0.0669939 4:-0.150381 5:0.328238 6:-0.345615 7:-0.397183 8:-0.018551 9:-0.143442 10:-0.0974947 11:-0.137621 12:0.213305 13:0.0756542 14:0.0361767 15:0.0756731 16:-0.293395 17:-0.623618 18:-0.135182 19:0.184725 20:0.275995 
