@relation 'Y:\\Teaching\\CP5605_3300 Data mining\\Insu\\Assignment - Sample Student Work\\Data\\Facial_Palsy_svmlight_format\\palsy_diff_66PCs_4vsNormal.dat'

@attribute att_1 numeric
@attribute att_2 numeric
@attribute att_3 numeric
@attribute att_4 numeric
@attribute att_5 numeric
@attribute att_6 numeric
@attribute att_7 numeric
@attribute att_8 numeric
@attribute att_9 numeric
@attribute att_10 numeric
@attribute att_11 numeric
@attribute att_12 numeric
@attribute att_13 numeric
@attribute att_14 numeric
@attribute att_15 numeric
@attribute att_16 numeric
@attribute att_17 numeric
@attribute att_18 numeric
@attribute att_19 numeric
@attribute att_20 numeric
@attribute att_21 numeric
@attribute att_22 numeric
@attribute att_23 numeric
@attribute att_24 numeric
@attribute att_25 numeric
@attribute att_26 numeric
@attribute att_27 numeric
@attribute att_28 numeric
@attribute att_29 numeric
@attribute att_30 numeric
@attribute att_31 numeric
@attribute att_32 numeric
@attribute att_33 numeric
@attribute att_34 numeric
@attribute att_35 numeric
@attribute att_36 numeric
@attribute att_37 numeric
@attribute att_38 numeric
@attribute att_39 numeric
@attribute att_40 numeric
@attribute att_41 numeric
@attribute att_42 numeric
@attribute att_43 numeric
@attribute att_44 numeric
@attribute att_45 numeric
@attribute att_46 numeric
@attribute att_47 numeric
@attribute att_48 numeric
@attribute att_49 numeric
@attribute att_50 numeric
@attribute att_51 numeric
@attribute att_52 numeric
@attribute att_53 numeric
@attribute att_54 numeric
@attribute att_55 numeric
@attribute att_56 numeric
@attribute att_57 numeric
@attribute att_58 numeric
@attribute att_59 numeric
@attribute att_60 numeric
@attribute att_61 numeric
@attribute att_62 numeric
@attribute att_63 numeric
@attribute att_64 numeric
@attribute att_65 numeric
@attribute att_66 numeric
@attribute class {+1,-1}

@data
{0 4.734931,1 3.666599,2 -1.509285,3 1.080358,4 -1.250486,5 -1.398164,6 2.250499,7 -1.47674,8 -0.583893,9 -0.383573,10 0.508495,11 -0.055115,12 -0.185001,13 -0.732043,14 0.176393,15 -0.110714,16 0.121342,17 -0.45839,18 -0.430491,19 0.291543,20 0.181449,21 0.197422,22 -0.400842,23 0.092633,24 -0.043608,25 0.133533,26 -0.175603,27 0.054671,28 -0.001107,29 -0.093099,30 0.037688,31 0.026361,32 0.057658,33 -0.108727,34 -0.066137,35 -0.026629,36 -0.04279,37 -0.188055,38 -0.091654,39 -0.032466,40 0.071712,41 -0.046448,42 0.165253,43 0.105286,44 -0.060842,45 0.114075,46 0.129713,47 -0.002005,48 -0.118449,49 -0.011506,50 0.064984,51 0.019086,52 0.018847,53 0.023723,54 0.022243,55 -0.055183,56 -0.095303,57 0.070042,58 -0.122146,59 0.061253,60 -0.027538,61 0.073596,62 -0.06968,63 -0.07449,64 0.017625,65 -0.097793,66 -1}
{0 2.424858,1 4.079987,2 0.082887,3 -3.793456,4 -0.745496,5 3.964804,6 1.32537,7 0.297178,8 -1.226052,9 -0.414988,10 0.458441,11 -0.278296,12 0.067041,13 0.477086,14 -1.616081,15 -0.276261,16 1.122686,17 0.100464,18 -0.274523,19 0.253028,20 -0.170019,21 0.272901,22 0.028321,23 0.548381,24 0.190194,25 -0.469565,26 0.264221,27 0.532666,28 0.138379,29 0.135374,30 0.092867,31 -0.08825,32 -0.025809,33 0.032501,34 0.061563,35 0.138615,36 0.043705,37 -0.03548,38 0.151571,39 -0.034417,40 0.042732,41 0.01415,42 -0.108573,43 0.062419,44 0.058729,45 0.037046,46 0.08075,47 0.033355,48 -0.021681,49 0.056348,50 -0.032569,51 0.024184,52 0.059317,53 -0.030913,54 -0.011626,55 -0.009711,56 -0.015481,57 0.001231,58 0.013711,59 -0.00543,60 -0.018332,61 0.000186,62 0.016293,63 -0.001237,64 0.002633,65 -0.10081}
{0 1.188251,1 2.855338,2 -2.532787,3 0.41829,4 -0.599163,5 -0.321946,6 0.850399,7 -1.849984,8 -0.8878,9 -1.113225,10 0.426724,11 0.013792,12 -0.337788,13 -0.314297,14 -0.53257,15 0.022965,16 0.082713,17 -0.294957,18 -0.018925,19 0.143118,20 -0.112163,21 0.38061,22 0.201338,23 -0.08139,24 -0.265907,25 0.004809,26 -0.204084,27 -0.008455,28 -0.147765,29 -0.202329,30 -0.121513,31 0.048117,32 0.19195,33 0.061704,34 -0.134834,35 0.016046,36 -0.073855,37 -0.003895,38 -0.221924,39 -0.004432,40 -0.004969,41 -0.064543,42 -0.100548,43 -0.113864,44 0.023668,45 0.086041,46 -0.038682,47 -0.010823,48 -0.033173,49 0.059806,50 -0.099146,51 -0.018105,52 -0.072613,53 -0.043592,54 0.174018,55 -0.009054,56 0.088839,57 0.065155,58 0.059813,59 0.017809,60 -0.036692,61 -0.090838,62 -0.04692,63 0.088196,64 -0.007093,65 -0.11145}
{0 7.980261,1 4.197887,2 0.771687,3 3.545645,4 0.907764,5 0.580479,6 -0.675285,7 -0.579379,8 0.193952,9 -0.240711,10 -0.130084,11 0.016804,12 0.624649,13 0.520855,14 -0.070466,15 -0.007793,16 -0.263636,17 0.425333,18 -0.267726,19 0.332291,20 -0.00485,21 -0.273385,22 -0.277154,23 -0.361804,24 0.496737,25 0.13512,26 0.116803,27 0.117448,28 0.3318,29 -0.009517,30 0.146126,31 -0.168193,32 0.109357,33 -0.072754,34 0.052019,35 0.243851,36 0.121106,37 -0.022413,38 -0.148658,39 0.055797,40 -0.109116,41 0.188032,42 -0.13893,43 0.042265,44 -0.076484,45 0.045371,46 -0.113695,47 -0.205648,48 -0.037696,49 -0.048023,50 0.056752,51 -0.07431,52 -0.064893,53 -0.064663,54 0.00299,55 0.10903,56 0.012951,57 0.003653,58 -0.032961,59 0.029228,60 -0.035416,61 0.013452,62 0.004191,63 0.017843,64 0.01022,65 -0.035302,66 -1}
{0 -1.858841,1 2.549942,2 -0.545993,3 -1.883214,4 -0.609841,5 1.437932,6 -0.034163,7 1.179753,8 -0.483513,9 -0.234584,10 0.288437,11 -0.088474,12 0.364346,13 -0.091436,14 0.54446,15 -0.275354,16 -0.055566,17 0.208076,18 -0.037757,19 -0.139478,20 0.088691,21 -0.064694,22 -0.048076,23 -0.119661,24 -0.292259,25 0.000845,26 0.025464,27 -0.142558,28 -0.060004,29 0.039696,30 0.032131,31 0.239787,32 -0.05651,33 -0.066238,34 -0.168499,35 0.098452,36 0.090944,37 -0.080838,38 -0.092538,39 0.033155,40 0.106141,41 -0.015924,42 -0.131152,43 -0.067444,44 0.009007,45 -0.014889,46 0.033113,47 0.099788,48 0.036188,49 0.094442,50 0.03528,51 0.068415,52 -0.084247,53 -0.047486,54 0.087385,55 0.023899,56 0.089149,57 -0.156497,58 -0.167965,59 -0.075222,60 -0.056473,61 0.046076,62 0.057207,63 -0.015825,64 0.019752,65 -0.046556,66 -1}
{0 8.669611,1 3.455453,2 0.512609,3 0.824016,4 2.366809,5 3.317314,6 -0.792067,7 0.406084,8 0.31222,9 -1.133359,10 0.284561,11 0.264079,12 0.391428,13 -0.133811,14 -0.46352,15 -0.471362,16 -0.893877,17 -0.094752,18 -0.582013,19 -0.385904,20 -0.37203,21 0.124658,22 -0.011431,23 -0.065748,24 0.42885,25 -0.077656,26 0.033314,27 -0.2816,28 -0.172344,29 -0.174984,30 0.002424,31 0.226309,32 0.021203,33 0.228274,34 0.093374,35 -0.187871,36 -0.236049,37 0.114644,38 0.028919,39 0.140309,40 0.051697,41 -0.016298,42 -0.026235,43 -0.027569,44 -0.029735,45 -0.024741,46 0.022735,47 0.04094,48 0.095226,49 -0.031208,50 0.063267,51 0.12315,52 -0.017029,53 0.066544,54 -0.037815,55 -0.010217,56 0.036187,57 0.057514,58 0.046743,59 0.040651,60 -0.081296,61 0.041121,62 0.019783,63 -0.02346,64 0.024613,65 -0.29529,66 -1}
{0 3.734314,1 2.028533,2 -1.339521,3 0.319925,4 0.460345,5 0.878825,6 -1.655823,7 0.676004,8 0.295103,9 -0.486158,10 0.327757,11 0.026801,12 0.552437,13 -0.379577,14 -0.136521,15 -0.135904,16 -0.33745,17 0.349566,18 -0.244822,19 -0.365028,20 -0.245148,21 -0.229848,22 -0.023936,23 -0.264033,24 -0.178536,25 -0.089836,26 0.209273,27 -0.002382,28 0.007477,29 0.005985,30 -0.084836,31 -0.035788,32 0.08788,33 0.037969,34 -0.026097,35 0.174384,36 0.009457,37 0.104452,38 0.002201,39 0.062073,40 -0.019495,41 -0.143849,42 -0.119031,43 0.035052,44 -0.016524,45 0.045954,46 -0.120592,47 0.080951,48 0.108962,49 0.053007,50 0.037208,51 0.032284,52 0.106475,53 -0.022776,54 0.003747,55 -0.039781,56 -0.080761,57 -0.044401,58 -0.05259,59 0.01358,60 0.149028,61 -0.037248,62 -0.149433,63 -0.013435,64 -0.020039,65 -0.023612,66 -1}
{0 -1.914451,1 2.173644,2 2.709653,3 -1.128316,4 0.018394,5 -1.121118,6 -0.557288,7 2.217223,8 -0.818355,9 -0.141052,10 -1.144495,11 -0.409741,12 0.738425,13 -0.341944,14 -0.194535,15 0.49823,16 -0.273597,17 -0.349779,18 -0.261404,19 -0.172953,20 -0.321379,21 0.166871,22 -0.531147,23 -0.464875,24 -0.089357,25 -0.300443,26 0.058426,27 0.090543,28 -0.417814,29 -0.191358,30 0.105966,31 -0.312828,32 0.311435,33 -0.240927,34 0.130451,35 0.096706,36 -0.080406,37 0.05339,38 0.008808,39 -0.221996,40 -0.005464,41 -0.047423,42 0.185805,43 0.011167,44 0.058743,45 0.04726,46 -0.104268,47 0.059756,48 -0.037401,49 -0.0691,50 -0.062865,51 0.026074,52 0.024634,53 -0.033749,54 -0.019946,55 0.016385,56 0.02256,57 -0.021208,58 0.002818,59 -0.027768,60 -0.036343,61 -0.000853,62 0.037644,63 0.002803,64 -0.003044,65 -0.05475,66 -1}
{0 -4.425274,1 -1.271048,2 4.097601,3 1.633925,4 0.296848,5 0.489197,6 1.380125,7 0.666234,8 -1.109383,9 -0.368406,10 -0.088614,11 -0.043973,12 -0.293261,13 0.304012,14 -0.065576,15 1.201022,16 0.617567,17 -0.373625,18 0.182314,19 -0.108103,20 0.253272,21 0.400246,22 0.13841,23 -0.031817,24 0.434273,25 0.537351,26 -0.363186,27 -0.106153,28 -0.15997,29 -0.173664,30 -0.098861,31 -0.026013,32 -0.040265,33 0.119678,34 -0.118198,35 -0.03086,36 0.043338,37 -0.004376,38 0.211759,39 0.133668,40 0.014086,41 0.01403,42 -0.134242,43 0.127739,44 -0.047629,45 0.171672,46 -0.212632,47 0.089959,48 -0.059344,49 -0.008143,50 -0.052645,51 0.023793,52 0.037661,53 0.031594,54 -0.004553,55 0.006951,56 -0.000654,57 -0.066919,58 -0.006573,59 0.034419,60 0.012875,61 0.039738,62 0.007102,63 0.006893,64 -0.006885,65 -0.063758,66 -1}
{0 -5.769344,1 0.429558,2 -1.108941,3 -0.575444,4 -0.154116,5 0.155334,6 -1.581921,7 -0.271744,8 0.306718,9 -0.183411,10 0.462878,11 -0.041054,12 -0.139399,13 0.776544,14 0.318803,15 0.072116,16 0.27699,17 -0.00591,18 -0.176342,19 -0.103812,20 -0.078906,21 -0.035413,22 -0.080048,23 0.210358,24 0.296104,25 -0.167761,26 0.224217,27 -0.210833,28 -0.039277,29 0.333644,30 -0.133274,31 0.002596,32 -0.010753,33 0.10479,34 0.120036,35 0.068446,36 -0.191114,37 0.070097,38 -0.024276,39 0.068665,40 -0.169004,41 -0.009056,42 0.157414,43 0.117488,44 -0.077799,45 0.093856,46 0.038246,47 0.109195,48 -0.079989,49 -0.061938,50 0.013917,51 -0.127311,52 -0.01362,53 0.170382,54 0.116051,55 0.083924,56 0.050515,57 0.001679,58 -0.040196,59 -0.126763,60 -0.007178,61 -0.012492,62 -0.037115,63 0.007973,64 -0.015293,65 -0.23276,66 -1}
{0 -6.864846,1 -0.309479,2 0.54509,3 0.843713,4 0.489147,5 1.108745,6 -1.250493,7 -1.191899,8 0.327654,9 -0.538479,10 -0.385409,11 0.44847,12 -0.181231,13 0.090011,14 0.31647,15 -0.245483,16 0.117403,17 -0.326177,18 0.170187,19 0.065698,20 -0.192541,21 -0.218548,22 0.26256,23 0.40445,24 0.271612,25 -0.095665,26 -0.402161,27 -0.298989,28 -0.104299,29 0.346399,30 0.255059,31 -0.175007,32 -0.048755,33 -0.313,34 0.135751,35 0.18241,36 -0.032265,37 0.334576,38 -0.040757,39 0.162707,40 0.21309,41 -0.040784,42 0.095873,43 -0.099426,44 -0.039243,45 0.081163,46 0.058879,47 -0.002705,48 -0.016626,49 0.016521,50 -0.021587,51 -0.007521,52 -0.023094,53 -0.130987,54 0.005511,55 -0.029355,56 -0.0386,57 -0.032105,58 0.007443,59 0.051332,60 0.001543,61 0.00731,62 -0.001158,63 0.003666,64 0.002574,65 -0.194348,66 -1}
{0 0.536747,1 0.456287,2 3.871082,3 5.863719,4 -0.348897,5 -2.370639,6 0.049258,7 -0.167077,8 -1.227026,9 2.96403,10 0.780122,11 -0.35835,12 1.026082,13 -0.435151,14 0.469622,15 -1.158322,16 0.783787,17 0.136729,18 0.18474,19 -0.037649,20 -0.249132,21 -0.197124,22 0.701702,23 -0.071563,24 0.209067,25 -0.112213,26 0.143672,27 0.240468,28 -0.259209,29 -0.434147,30 0.183612,31 0.024382,32 -0.154159,33 0.046513,34 -0.033422,35 0.064029,36 -0.065842,37 0.0439,38 -0.004163,39 -0.017105,40 0.023994,41 -0.054234,42 0.002138,43 0.031169,44 -0.08755,45 0.029024,46 0.069573,47 0.01085,48 0.04563,49 -0.024674,50 -0.012909,51 0.004694,52 -0.008768,53 0.006722,54 0.010488,55 0.005803,56 0.014145,57 0.005831,58 0.002967,59 -0.025507,60 -0.006565,61 -0.014423,62 -0.004303,63 -0.003563,64 0.001999,65 0.064255}
{0 2.060264,1 2.083442,2 1.255174,3 4.645426,4 -0.428153,5 -2.73152,6 -1.471382,7 0.176066,8 -1.597749,9 1.097391,10 0.329165,11 -0.33452,12 -1.209525,13 -0.734777,14 -0.69082,15 0.253099,16 0.015607,17 -0.132786,18 -0.483819,19 -0.464461,20 -0.772986,21 -0.103458,22 0.127774,23 -0.107004,24 -0.085665,25 0.137994,26 -0.318693,27 0.08681,28 0.083457,29 0.669138,30 0.008499,31 0.177424,32 0.008844,33 -0.070776,34 0.078208,35 -0.031013,36 -0.067707,37 -0.09849,38 0.04624,39 -0.044808,40 0.059188,41 0.132046,42 -0.038117,43 -0.023336,44 0.198621,45 -0.097185,46 -0.072474,47 0.009404,48 0.04,49 0.03128,50 0.004758,51 -0.025908,52 0.017611,53 0.04446,54 0.029384,55 0.042431,56 -0.003492,57 0.013122,58 -0.004069,59 0.00782,60 0.005404,61 0.016565,62 0.005726,63 -0.013473,64 0.000593,65 0.141379}
{0 1.629744,1 0.700262,2 4.966086,3 4.091963,4 -0.297006,5 -0.366742,6 -2.586041,7 -0.311927,8 -0.235987,9 1.329154,10 1.881231,11 0.336731,12 -0.727616,13 1.364408,14 -0.934391,15 -0.179795,16 -0.162101,17 0.589426,18 0.102909,19 0.69834,20 0.255628,21 0.308369,22 -0.539183,23 -0.008719,24 -0.364532,25 0.0182,26 0.055775,27 -0.530566,28 0.176399,29 -0.0163,30 -0.2527,31 0.014479,32 0.078827,33 -0.057137,34 -0.098227,35 -0.022523,36 -0.099491,37 0.088904,38 0.026085,39 -0.105541,40 0.022329,41 -0.082895,42 -0.026177,43 -0.0042,44 -0.019306,45 0.029402,46 0.070153,47 0.047628,48 -0.037451,49 -0.0343,50 -0.020477,51 0.034512,52 0.00583,53 -0.069663,54 -0.063748,55 -0.019174,56 -0.001406,57 -0.006356,58 0.008857,59 -0.010032,60 0.019557,61 0.004601,62 0.028503,63 0.004431,64 -0.009436,65 0.145739}
{0 5.420397,1 -3.45729,2 -1.770668,3 -6.720003,4 4.711257,5 -1.154739,6 -2.290824,7 -0.665855,8 -0.448666,9 0.417094,10 1.336166,11 0.444861,12 0.36504,13 -0.461174,14 -0.201282,15 0.104885,16 0.281932,17 -0.160693,18 0.456486,19 -0.195178,20 0.045434,21 0.437189,22 0.111913,23 -0.180946,24 0.168389,25 -0.162512,26 -0.336732,27 -0.313988,28 0.013037,29 0.019058,30 0.031826,31 0.278938,32 -0.126809,33 0.011674,34 -0.021343,35 0.377998,36 0.016248,37 -0.129346,38 -0.06872,39 -0.143411,40 0.033958,41 -0.011625,42 0.083236,43 0.092988,44 -0.097781,45 -0.057126,46 -0.073784,47 -0.130726,48 0.033612,49 0.00233,50 -0.011892,51 0.007324,52 0.056271,53 0.017122,54 -0.023105,55 -0.007139,56 -0.017058,57 0.007026,58 0.020619,59 -0.013119,60 0.001932,61 0.010955,62 0.019331,63 0.015291,64 0.000917,65 0.056785}
{0 13.422952,1 -3.209193,2 3.273637,3 -1.873607,4 4.788329,5 -2.049537,6 1.511689,7 0.308354,8 -0.411954,9 -0.445027,10 0.366894,11 -0.337277,12 -0.044554,13 -0.137524,14 0.4861,15 -0.96404,16 0.729807,17 -0.040962,18 0.122115,19 -0.735675,20 0.266115,21 0.096186,22 -0.458028,23 0.071705,24 0.011584,25 0.239619,26 0.000916,27 0.133761,28 0.096345,29 -0.080199,30 -0.305617,31 -0.141964,32 0.059032,33 0.025875,34 0.292178,35 -0.068066,36 0.050705,37 0.092267,38 -0.019698,39 0.088355,40 0.009479,41 0.015303,42 -0.064184,43 -0.183226,44 0.050722,45 -0.069964,46 0.045164,47 0.102343,48 -0.071439,49 -0.034268,50 -0.025395,51 -0.122835,52 -0.004764,53 -0.05514,54 0.029244,55 -0.028389,56 -0.00896,57 0.005546,58 -0.009346,59 -0.021594,60 0.018474,61 0.01991,62 0.00694,63 -0.006434,64 0.004959,65 0.497164}
{0 3.750993,1 -3.102422,2 -0.630935,3 -3.822299,4 6.547677,5 0.395849,6 -1.016758,7 -0.929216,8 -0.798029,9 1.666536,10 -0.134548,11 0.877595,12 0.11867,13 0.426544,14 0.380472,15 0.312664,16 -0.413899,17 -0.404469,18 -0.712391,19 0.662585,20 -0.178964,21 -0.212595,22 0.024004,23 -0.054884,24 -0.273623,25 0.093888,26 -0.059884,27 0.312512,28 0.158537,29 0.011907,30 0.330045,31 -0.01217,32 0.05751,33 -0.084505,34 -0.170909,35 -0.369217,36 0.108472,37 0.169583,38 0.026105,39 0.032377,40 -0.027125,41 -0.009163,42 -0.005519,43 0.113147,44 0.041474,45 0.094351,46 0.007955,47 0.039873,48 0.003466,49 0.047777,50 -0.023376,51 0.012331,52 -0.001285,53 0.004808,54 0.036406,55 0.030173,56 0.026241,57 0.00878,58 0.004344,59 -0.031883,60 0.01034,61 -0.005422,62 -0.005823,63 -0.012437,64 -0.0031,65 -0.066143}
{0 4.667658,1 2.059696,2 0.808326,3 1.180015,4 -0.042561,5 2.644387,6 -0.005726,7 -3.199649,8 0.267233,9 0.469176,10 -1.339994,11 -1.295297,12 0.240041,13 -0.502227,14 -0.02491,15 0.049672,16 -0.582808,17 -0.22596,18 0.09697,19 -0.111988,20 0.20961,21 -0.16408,22 -0.16149,23 -0.013425,24 0.279257,25 0.14602,26 -0.270877,27 -0.009676,28 0.08368,29 -0.051769,30 -0.192512,31 -0.233719,32 -0.098713,33 0.017682,34 -0.333383,35 0.253561,36 0.04756,37 0.046402,38 0.062363,39 -0.022776,40 -0.146699,41 -0.054495,42 0.041071,43 -0.007659,44 0.143524,45 -0.109338,46 0.13012,47 0.051892,48 0.058048,49 0.030408,50 -0.140356,51 0.053739,52 -0.014347,53 0.047424,54 -0.00545,55 0.007376,56 -0.016194,57 0.01188,58 0.016538,59 -0.077213,60 0.029473,61 0.032326,62 0.020935,63 -0.014935,64 -0.012324,65 0.077729}
{0 -2.749693,1 0.246792,2 1.985174,3 0.776915,4 0.951908,5 -0.683828,6 0.453619,7 0.071062,8 -1.296506,9 -1.82057,10 -0.081467,11 -0.689348,12 -0.762045,13 0.083896,14 -0.566588,15 0.53652,16 -0.202251,17 0.454221,18 0.503468,19 -0.231719,20 0.854679,21 -0.72112,22 -0.029325,23 -0.458706,24 -0.317566,25 -0.087553,26 -0.269566,27 0.289817,28 0.206427,29 -0.100452,30 0.367716,31 0.035767,32 -0.31506,33 0.142931,34 0.162987,35 0.024752,36 -0.228193,37 0.155903,38 -0.042928,39 -0.090102,40 -0.025654,41 -0.0825,42 -0.010432,43 0.060939,44 -0.00589,45 0.00981,46 0.077197,47 0.004088,48 -0.022857,49 0.024059,50 0.063052,51 -0.000595,52 0.029037,53 0.038039,54 0.022061,55 -0.00748,56 0.005009,57 -0.001398,58 0.000315,59 0.015739,60 -0.007005,61 -0.000172,62 0.01827,63 0.018308,64 -0.001634,65 -0.041211,66 -1}
{0 -1.90782,1 -1.521913,2 2.010758,3 -1.863743,4 2.359733,5 -1.673881,6 1.216462,7 0.189518,8 0.554883,9 -0.954539,10 0.459683,11 -0.834043,12 -2.44103,13 -1.387722,14 0.92606,15 0.160121,16 -0.051403,17 0.361583,18 -0.066664,19 0.951698,20 -0.380374,21 -0.00826,22 0.320319,23 -0.130341,24 0.196298,25 -0.049127,26 0.466216,27 -0.20823,28 -0.054883,29 0.017981,30 0.118685,31 -0.217298,32 0.141079,33 0.285188,34 -0.014891,35 0.139769,36 -0.020156,37 -0.021635,38 0.031895,39 -0.046528,40 0.019821,41 -0.009165,42 -0.059061,43 -0.045676,44 0.050415,45 0.033068,46 0.058791,47 -0.005589,48 -0.004162,49 0.011954,50 -0.01864,51 0.017937,52 -0.0248,53 0.005147,54 -0.068677,55 0.008956,56 0.006721,57 -0.024814,58 -0.003215,59 -0.000135,60 -0.005233,61 0.010784,62 -0.004985,63 -0.006242,64 0.001275,65 -0.203713,66 -1}
{0 9.875335,1 -7.426681,2 -1.584426,3 3.442411,4 -2.511721,5 -2.683656,6 -3.991498,7 1.075893,8 -2.114988,9 -1.772905,10 -0.283764,11 1.041988,12 0.917276,13 -0.085151,14 0.164957,15 0.447456,16 -0.020108,17 -0.586214,18 0.981256,19 0.192664,20 0.019296,21 0.325111,22 -0.046035,23 0.00212,24 0.173912,25 -0.210893,26 0.276275,27 0.097497,28 0.105704,29 0.20213,30 0.120786,31 -0.148515,32 0.065719,33 0.086771,34 -0.126604,35 -0.068259,36 0.071142,37 -0.019739,38 -0.029565,39 0.10449,40 -0.042394,41 -0.011785,42 -0.007486,43 0.008777,44 0.003373,45 -0.057869,46 0.104479,47 0.033597,48 -0.026721,49 0.074194,50 -0.008269,51 0.058914,52 -0.060785,53 0.02964,54 -0.024369,55 -0.028332,56 0.001972,57 -0.005055,58 0.009585,59 0.005223,60 -0.001504,61 0.010774,62 -0.006737,63 -0.002361,64 -0.000689,65 0.297181}
{0 8.684067,1 -5.309572,2 -1.842665,3 3.301004,4 -2.417931,5 3.082299,6 -1.572558,7 0.497235,8 1.055199,9 -1.209045,10 0.322454,11 0.219399,12 0.089189,13 -0.200224,14 1.507004,15 -0.714814,16 0.088596,17 0.775708,18 -0.899967,19 -0.112532,20 0.078066,21 0.23239,22 0.272162,23 0.225679,24 -0.263781,25 -0.150819,26 -0.549609,27 0.067982,28 0.17801,29 -0.075022,30 0.132758,31 -0.117699,32 0.09846,33 0.052342,34 -0.051295,35 -0.004332,36 -0.073624,37 -0.054226,38 0.102577,39 -0.142491,40 0.031023,41 0.038866,42 0.000685,43 0.064595,44 0.022911,45 0.004473,46 -0.051621,47 0.001167,48 -0.107655,49 -0.024519,50 -0.042039,51 -0.035104,52 0.086749,53 0.026984,54 -0.025988,55 -0.012572,56 0.031438,57 -0.025379,58 0.005043,59 -0.009126,60 -0.003154,61 -0.032559,62 0.02932,63 0.015872,64 0.013308,65 0.214855,66 -1}
{0 2.925026,1 -0.893185,2 -1.284121,3 -2.682973,4 -1.987314,5 -1.973867,6 -3.449783,7 0.297503,8 1.146015,9 2.150195,10 -1.329773,11 1.014835,12 -2.085334,13 -0.076323,14 -0.409123,15 0.368451,16 0.213868,17 0.7208,18 -0.264061,19 -0.651385,20 0.459633,21 0.246967,22 -0.314783,23 0.350732,24 0.252352,25 -0.21914,26 -0.096713,27 0.191613,28 -0.14455,29 -0.299595,30 0.064654,31 -0.214916,32 -0.064043,33 0.016241,34 -0.124894,35 -0.009215,36 -0.007361,37 0.030102,38 -0.068778,39 0.06712,40 -0.008162,41 0.003082,42 -0.015709,43 -0.067392,44 0.003095,45 0.011854,46 -0.029086,47 -0.028901,48 0.043919,49 0.036705,50 0.086104,51 0.032765,52 -0.036187,53 0.02316,54 0.023188,55 0.004174,56 0.021212,57 -0.000183,58 -0.023014,59 0.02747,60 -0.022287,61 0.002096,62 -0.023732,63 0.000101,64 0.011417,65 0.089996}
{0 8.087852,1 1.564854,2 -7.903095,3 1.631155,4 0.719544,5 0.363894,6 -1.417726,7 -0.257623,8 1.102912,9 -0.604625,10 -0.963402,11 0.307141,12 -0.42257,13 0.940754,14 -0.370119,15 0.652233,16 1.190863,17 0.224296,18 -0.23506,19 0.315625,20 -0.419806,21 -0.176366,22 0.40844,23 -0.695706,24 -0.227238,25 0.091083,26 -0.062791,27 -0.011683,28 -0.393588,29 -0.128709,30 -0.23512,31 0.12036,32 -0.174337,33 0.003911,34 0.09227,35 0.014918,36 0.154996,37 0.043835,38 0.098269,39 0.000438,40 -0.045381,41 0.01032,42 0.06732,43 -0.014713,44 0.043097,45 -0.011864,46 0.111181,47 0.025239,48 -0.059969,49 -0.051598,50 0.034988,51 -0.01996,52 -0.057016,53 -0.030836,54 -0.042676,55 -0.024745,56 -0.037774,57 -0.017361,59 -0.003172,60 -0.003226,61 0.014549,62 0.010882,63 -0.007921,64 -0.006883,65 -0.04432}
{0 -1.290881,1 1.465117,2 -0.085508,3 -3.182563,4 0.462994,5 0.329029,6 -0.395773,7 0.10587,8 -0.35551,9 0.56078,10 -0.723899,11 0.767289,12 0.256495,13 -0.042598,14 0.484601,15 -0.671136,16 0.057729,17 0.335793,18 0.538744,19 -0.381878,20 0.197505,21 -0.357341,22 0.056886,23 -0.381273,24 -0.353577,25 0.198207,26 0.146062,27 0.217644,28 0.116633,29 0.33049,30 -0.339573,31 -0.143463,32 0.097987,33 0.007772,34 -0.198532,35 0.099846,36 -0.256126,37 -0.174156,38 0.181696,39 0.134513,40 0.15904,41 0.104791,42 0.045952,43 0.018805,44 -0.01009,45 0.211046,46 0.055799,47 -0.055611,48 -0.009874,49 -0.073798,50 0.001965,51 0.09033,52 -0.037065,53 -0.002627,54 -0.031322,55 0.008609,56 -0.00186,57 0.013555,58 0.066147,59 0.013878,60 -0.034957,61 -0.030681,62 -0.005624,63 0.00575,64 0.014801,65 -0.073355}
{0 0.057423,1 -1.505814,2 -5.247088,3 2.923485,4 2.218623,5 -0.118174,6 1.827247,7 1.477919,8 -0.217175,9 0.867064,10 -1.432011,11 0.710299,12 -0.017106,13 -0.161896,14 -1.073093,15 -0.686747,16 0.293258,17 -0.448959,18 -0.035412,19 -0.018294,20 0.771781,21 -0.640074,22 0.267204,23 0.338878,24 0.011323,25 -0.051928,26 -0.007546,27 -0.553948,28 0.129522,29 -0.056282,30 0.180777,31 0.091318,32 0.395281,33 0.15903,34 0.088373,35 0.014216,36 -0.03931,37 -0.171787,38 0.066342,39 -0.007847,40 -0.106372,41 -0.057648,42 0.06135,43 -0.01627,44 0.064637,45 0.011827,46 -0.033265,47 -0.012343,48 -0.003999,49 0.031827,50 -0.049349,51 -0.000594,52 -0.007239,53 -0.038589,54 -0.015,55 0.028719,56 -0.007343,57 -0.028097,58 -0.016318,59 -0.004603,60 0.003707,61 0.003009,62 -0.00152,63 -0.00333,64 -0.008045,65 -0.123396}
