@relation 'Y:\\Teaching\\CP5605_3300 Data mining\\Insu\\Assignment - Sample Student Work\\Data\\Facial_Palsy_svmlight_format\\palsy_diff_66PCs_4vsNormal.dat'

@attribute att_1 numeric
@attribute att_2 numeric
@attribute att_3 numeric
@attribute att_4 numeric
@attribute att_5 numeric
@attribute att_6 numeric
@attribute att_7 numeric
@attribute att_8 numeric
@attribute att_9 numeric
@attribute att_10 numeric
@attribute att_11 numeric
@attribute att_12 numeric
@attribute att_13 numeric
@attribute att_14 numeric
@attribute att_15 numeric
@attribute att_16 numeric
@attribute att_17 numeric
@attribute att_18 numeric
@attribute att_19 numeric
@attribute att_20 numeric
@attribute att_21 numeric
@attribute att_22 numeric
@attribute att_23 numeric
@attribute att_24 numeric
@attribute att_25 numeric
@attribute att_26 numeric
@attribute att_27 numeric
@attribute att_28 numeric
@attribute att_29 numeric
@attribute att_30 numeric
@attribute att_31 numeric
@attribute att_32 numeric
@attribute att_33 numeric
@attribute att_34 numeric
@attribute att_35 numeric
@attribute att_36 numeric
@attribute att_37 numeric
@attribute att_38 numeric
@attribute att_39 numeric
@attribute att_40 numeric
@attribute att_41 numeric
@attribute att_42 numeric
@attribute att_43 numeric
@attribute att_44 numeric
@attribute att_45 numeric
@attribute att_46 numeric
@attribute att_47 numeric
@attribute att_48 numeric
@attribute att_49 numeric
@attribute att_50 numeric
@attribute att_51 numeric
@attribute att_52 numeric
@attribute att_53 numeric
@attribute att_54 numeric
@attribute att_55 numeric
@attribute att_56 numeric
@attribute att_57 numeric
@attribute att_58 numeric
@attribute att_59 numeric
@attribute att_60 numeric
@attribute att_61 numeric
@attribute att_62 numeric
@attribute att_63 numeric
@attribute att_64 numeric
@attribute att_65 numeric
@attribute att_66 numeric
@attribute class {+1,-1}

@data
{0 5.739401,1 4.726571,2 -0.239622,3 0.204927,4 -1.22752,5 -0.97762,6 1.466167,7 -0.287039,8 -0.783668,9 -0.709387,10 -0.395196,11 -0.062405,12 -0.496735,13 -0.548777,14 0.06536,15 -0.159682,16 -0.231521,17 -0.304343,18 -0.156864,19 0.135356,20 0.153352,21 0.365957,22 -0.064534,23 0.11696,24 0.074833,25 -0.046859,26 0.054109,27 0.016582,28 -0.129632,29 -0.128712,30 -0.042957,31 0.181473,32 -0.02953,33 -0.098814,34 -0.058639,35 -0.20482,36 -0.178304,37 0.03409,38 -0.019716,39 0.106866,40 -0.027449,41 0.136203,42 0.085093,43 0.009332,44 -0.046286,45 0.03498,46 0.025553,47 -0.179791,48 0.009727,49 0.067438,50 0.099191,51 -0.030409,52 0.041352,53 -0.053443,54 -0.018133,55 0.015469,56 -0.08901,57 -0.129932,58 0.070068,59 -0.129836,60 0.102139,61 -0.039695,62 0.056093,63 0.014515,64 -0.012664,65 -0.102173,66 -1}
{0 -5.234367,1 0.696724,2 -1.130435,3 -0.030141,4 0.072241,5 -1.045127,6 0.543169,7 -0.342388,8 0.117103,9 -0.161838,10 0.545154,11 0.053269,12 -0.007892,13 0.157072,14 0.254237,15 0.042495,16 0.073011,17 -0.091873,18 0.377547,19 -0.073638,20 -0.135319,21 -0.051428,22 0.260847,23 -0.015695,24 0.027597,25 -0.11476,26 -0.002785,27 -0.022948,28 0.190734,29 -0.075824,30 -0.134641,31 -0.023865,32 0.014264,33 -0.150319,34 -0.044842,35 -0.011138,36 -0.072837,37 0.120639,38 0.056424,39 0.077366,40 -0.235945,41 0.081701,42 -0.007148,43 -0.05117,44 0.10513,45 0.06683,46 -0.159417,47 -0.032123,48 0.036532,49 0.107732,50 0.058299,51 -0.00621,52 0.056934,53 -0.020804,54 -0.104835,55 -0.186839,56 -0.00038,57 0.110507,58 -0.115419,59 -0.070591,60 -0.090456,61 -0.048896,62 0.038782,63 -0.018534,64 -0.004177,65 -0.017849,66 -1}
{0 -6.978,1 -0.074363,2 -0.582266,3 -0.619291,4 0.149046,5 -0.365084,6 -0.577892,7 -0.112992,8 0.40627,9 0.218636,10 -0.274886,11 -0.007473,12 0.362862,13 -0.218037,14 0.182999,15 0.014357,16 -0.233532,17 -0.272189,18 -0.03102,19 0.058662,20 0.242938,21 0.156207,22 -0.115112,23 0.078334,24 -0.209609,25 0.000989,26 0.013308,27 -0.008668,28 -0.332627,29 -0.036644,30 -0.106858,31 0.019681,32 -0.109894,33 0.177526,34 0.05372,35 0.052266,36 -0.163778,37 0.058229,38 0.058102,39 0.030714,40 0.000934,41 0.234537,42 -0.05875,43 0.180133,44 -0.044073,45 -0.193863,46 0.024887,47 0.079506,48 -0.112101,49 0.157639,50 -0.036665,51 -0.019821,52 -0.006985,53 -0.161175,54 -0.064025,55 0.134561,56 0.036666,57 0.090924,58 -0.040814,59 0.035229,60 0.024913,61 -0.045514,62 -0.020088,63 -0.040003,64 0.027267,65 -0.110937,66 -1}
{0 12.212602,1 -2.569381,2 3.671502,3 -2.493154,4 -4.470462,5 1.645429,6 0.679018,7 1.430334,8 -0.298258,9 0.375419,10 -0.147151,11 0.870241,12 -0.467188,13 0.260925,14 0.338792,15 0.751506,16 -0.553516,17 0.069142,18 0.020138,19 0.231837,20 -0.016454,21 -0.671826,22 0.364862,23 0.132675,24 0.048192,25 0.171457,26 0.239823,27 -0.006478,28 -0.077556,29 -0.032287,30 -0.134642,31 0.193209,32 -0.06585,33 -0.049012,34 0.078245,35 0.085782,36 0.013248,37 -0.031005,38 -0.047389,39 -0.031993,40 0.047538,41 -0.087029,42 0.062801,43 -0.031988,44 -0.023204,45 0.041052,46 -0.087605,47 0.016062,48 -0.013153,49 0.065113,50 -0.048642,51 -0.04101,52 0.045331,53 -0.0791,54 0.073836,55 0.009887,56 -0.027169,57 0.130877,58 0.031997,59 -0.060443,60 0.029586,61 0.071199,62 0.024113,63 0.010371,64 0.055625,65 0.294931,66 -1}
{0 -5.494224,1 -1.164321,2 -0.262574,3 -1.402051,4 -1.693226,5 0.837365,6 0.549811,7 -0.250312,8 -0.475769,9 0.121318,10 0.725539,11 0.431206,12 0.29765,13 -0.299451,14 -0.73968,15 -0.004602,16 0.166508,17 -0.161791,18 0.230855,19 0.247376,20 -0.141772,21 -0.265883,22 -0.160597,23 0.006373,24 -0.159276,25 0.261046,26 -0.292281,27 -0.075449,28 -0.139442,29 -0.0012,30 0.094844,31 -0.24721,32 0.114025,33 0.140996,34 0.01839,35 -0.074163,36 0.124276,37 0.107147,38 0.080701,39 -0.039152,40 0.027322,41 0.062267,42 -0.062417,43 -0.10836,44 -0.088725,45 -0.142563,46 -0.007624,47 -0.093832,48 -0.019195,49 -0.102424,50 0.051464,51 0.037605,52 0.003709,53 0.077207,54 -0.01657,55 -0.011912,56 -0.037461,57 -0.018076,58 -0.004682,59 -0.116264,60 -0.018089,61 -0.028135,62 -0.064002,63 0.005186,64 0.143335,65 0.096959,66 -1}
{0 0.613077,1 4.651897,2 2.170035,3 -0.774536,4 -1.241588,5 -1.671566,6 0.450917,7 0.446681,8 0.510908,9 0.392204,10 -1.324057,11 -0.011484,12 -0.316377,13 -0.338752,14 0.43078,15 0.061441,16 -0.060523,17 -0.121608,18 0.195555,19 0.372201,20 0.176949,21 -0.104936,22 -0.089495,23 -0.188449,24 0.065149,25 -0.481158,26 -0.303421,27 -0.007864,28 0.204469,29 -0.004197,30 -0.13969,31 0.408647,32 0.11741,33 -0.243282,34 0.151121,35 -0.006578,36 0.198584,37 -0.009505,38 -0.062411,39 0.091736,40 -0.010621,41 0.025623,42 -0.15313,43 -0.003577,44 -0.13123,45 0.039033,46 0.098949,47 0.117262,48 -0.004499,49 0.004866,50 -0.101896,51 -0.030972,52 0.068354,53 0.113617,54 -0.116041,55 0.003559,56 0.062645,57 -0.010381,58 0.053387,59 0.012881,60 -0.013101,61 -0.037517,62 -0.030205,63 -0.011286,64 0.037992,65 0.001322,66 -1}
{0 -0.411735,1 1.931568,2 -2.602848,3 -1.397103,4 -0.764105,5 0.334082,6 0.216299,7 -0.933164,8 -0.209614,9 -0.105399,10 0.487962,11 0.358891,12 0.407347,13 0.230703,14 -0.145546,15 0.221829,16 0.262138,17 -0.122952,18 0.128612,19 0.129378,20 -0.091077,21 -0.327151,22 -0.027886,23 0.094744,24 -0.078877,25 -0.103352,26 0.022284,27 0.044965,28 -0.08549,29 0.031575,30 0.015071,31 -0.153835,32 -0.012352,33 0.117692,34 -0.175463,35 -0.039763,36 -0.155431,37 -0.029851,38 -0.205303,39 -0.058378,40 0.025393,41 -0.011965,42 -0.050052,43 -0.136394,44 -0.063335,45 0.019839,46 -0.143236,47 0.03956,48 0.035212,49 -0.035633,50 -0.047673,51 -0.140496,52 -0.054542,53 0.083309,54 -0.040585,55 -0.02164,56 0.031492,57 -0.022007,58 0.026651,59 0.079113,60 0.089174,61 -0.016525,62 0.092517,63 -0.153042,64 0.014598,65 0.0042,66 -1}
{0 -1.660049,1 3.190011,2 0.078428,3 -1.701544,4 -1.164296,5 -0.285591,6 0.088274,7 0.017863,8 0.111187,9 0.433494,10 -0.378961,11 -0.400654,12 0.181862,13 -0.898,14 -0.120842,15 -0.24548,16 -0.001311,17 0.222178,18 0.09353,19 0.010561,20 -0.241322,21 -0.270479,22 -0.201702,23 -0.081515,24 0.201938,25 -0.089703,26 0.016866,27 -0.229521,28 0.268998,29 -0.014703,30 0.152052,31 0.071883,32 -0.008637,33 0.038289,34 -0.124274,35 -0.032563,36 0.166679,37 0.000508,38 0.191225,39 -0.006668,40 0.051375,41 0.034035,42 0.04453,43 0.065753,44 -0.079016,45 -0.112957,46 -0.08699,47 0.126414,48 -0.218102,49 -0.055961,50 0.161787,51 0.020427,52 -0.096869,53 -0.045902,54 0.086035,55 -0.140373,56 0.073613,57 0.046118,58 0.067218,59 -0.000205,60 0.064905,61 -0.015999,62 0.025266,63 0.010532,64 -0.04462,65 -0.098651,66 -1}
{0 -0.383388,1 3.036313,2 -2.023322,3 -0.087914,4 -1.033531,5 -1.531191,6 1.326461,7 -1.372284,8 0.076483,9 -0.221965,10 0.97525,11 0.472356,12 -0.241599,13 0.76703,14 0.724807,15 -0.119677,16 0.366792,17 -0.057638,18 0.014491,19 -0.174845,20 -0.052442,21 -0.408536,22 -0.270049,23 0.103013,24 0.149334,25 0.22139,26 0.126557,27 -0.091023,28 -0.059727,29 -0.003421,30 -0.027076,31 -0.202026,32 -0.00172,33 -0.033703,34 0.115432,35 -0.041159,36 0.070039,37 -0.119836,38 -0.191986,39 0.043313,40 0.005762,41 -0.091563,42 0.072458,43 0.295416,44 0.161557,45 -0.105184,46 -0.025242,47 0.052834,48 0.114402,49 0.044162,50 0.040988,51 0.039386,52 0.071971,53 -0.042345,54 -0.030937,55 -0.056054,56 0.099544,57 -0.075661,58 0.099336,59 0.027637,60 -0.02631,61 -0.008384,62 -0.000413,63 0.026672,64 0.047903,65 -0.085874,66 -1}
{0 -5.876772,1 -0.337113,2 -2.591081,3 1.476193,4 0.046024,5 -0.943361,6 -0.800974,7 -0.67027,8 -0.197081,9 -0.074071,10 -0.2198,11 0.292149,12 -0.061397,13 -0.609916,14 0.10255,15 -0.047553,16 -0.050623,17 0.0875,18 -0.555864,19 0.07281,20 0.101907,21 -0.186595,22 -0.4561,23 -0.044342,24 0.105705,25 0.030642,26 0.160812,27 0.12884,28 -0.071283,29 0.157431,30 -0.075609,31 0.027219,32 -0.049087,33 0.167106,34 0.006487,35 -0.05733,36 0.154088,37 -0.055203,38 0.004565,39 0.12084,40 0.119966,41 -0.202828,42 -0.035112,43 0.038315,44 -0.133843,45 -0.055976,46 -0.03167,47 0.036729,48 0.065981,49 -0.065156,50 -0.072312,51 -0.007954,52 0.058967,53 0.000489,54 0.010646,55 0.017975,56 -0.151998,57 0.056605,58 -0.067891,59 0.00799,60 -0.032454,61 -0.090529,62 0.125029,63 0.071246,64 -0.011063,65 -0.102083,66 -1}
