-1 1:2.476700 2:5.220728 3:-0.180228 4:-1.871051 5:-0.870569 6:-0.396016 7:0.548202 8:0.414261 9:-0.483824 10:-0.504777 11:0.176026 12:0.142432 13:-0.467045 14:0.509938 15:0.398086 16:-0.561205 17:-0.118672 18:0.407251 19:0.629753 20:-0.364249 21:-0.287600 22:0.137250 23:0.040216 24:0.091476 25:-0.109232 26:0.122348 27:0.071283 28:-0.241530 29:0.035358 30:-0.120055 31:0.106214 32:-0.041828 33:0.077238 34:-0.089900 35:0.103428 36:-0.118088 37:0.136225 38:0.109697 39:0.249749 40:-0.130089 41:-0.103641 42:0.121824 43:0.094691 44:0.086059 45:-0.058413 46:0.010804 47:0.061223 48:-0.070852 49:0.142699 50:0.071824 51:-0.127402 52:0.007259 53:-0.089718 54:0.092982 55:0.082213 56:0.010610 57:-0.032490 58:0.020840 59:-0.070893 60:0.111472 61:0.068221 62:-0.013747 63:0.036071 64:0.031884 65:0.030397 66:-0.054251 
-1 1:-4.897770 2:0.917220 3:-0.437752 4:-1.345338 5:-0.187793 6:-0.665843 7:-1.232000 8:-0.025495 9:0.784186 10:0.435579 11:-0.380333 12:0.161777 13:0.455659 14:0.136491 15:0.085549 16:0.176987 17:-0.545121 18:-0.043802 19:0.176992 20:-0.271898 21:-0.232055 22:0.177532 23:-0.012932 24:0.026589 25:-0.152333 26:-0.102913 27:0.178382 28:-0.339479 29:-0.120416 30:-0.117792 31:0.320282 32:-0.045104 33:-0.231190 34:-0.051950 35:0.112966 36:-0.067288 37:-0.093192 38:-0.199451 39:-0.020732 40:0.112823 41:-0.066948 42:0.029466 43:-0.297389 44:0.053351 45:0.185012 46:0.044557 47:0.111557 48:-0.092319 49:-0.117969 50:-0.157436 51:-0.117653 52:-0.043496 53:0.061526 54:-0.020405 55:0.071675 56:-0.089494 57:-0.055046 58:0.007151 59:0.004559 60:-0.012325 61:0.022564 62:0.032151 63:0.008217 64:-0.004239 65:0.013257 66:0.071589 
-1 1:9.578460 2:-0.577689 3:3.855123 4:-3.342428 5:-2.509256 6:0.845096 7:0.888725 8:0.338190 9:-0.825018 10:0.779154 11:-0.231496 12:0.465926 13:0.093742 14:0.194683 15:0.404103 16:0.339473 17:-0.281276 18:-0.595555 19:-0.035799 20:0.330408 21:-0.077187 22:-0.247667 23:-0.029932 24:0.339819 25:-0.059354 26:0.243921 27:0.021921 28:-0.018425 29:-0.081708 30:0.032133 31:-0.035703 32:0.202383 33:-0.095187 34:0.099307 35:0.001298 36:0.129080 37:-0.064969 38:0.097487 39:0.050265 40:-0.040930 41:-0.133823 42:-0.001790 43:0.023882 44:-0.046365 45:0.076848 46:-0.109974 47:0.032808 48:-0.046760 49:-0.027920 50:-0.146293 51:0.039892 52:-0.000959 53:0.020513 54:0.004592 55:0.000228 56:-0.010118 57:-0.010933 58:-0.097685 59:-0.046195 60:0.105538 61:-0.079563 62:-0.118855 63:-0.033256 64:-0.008286 65:-0.066326 66:0.574107 
-1 1:-0.126401 2:4.472796 3:-0.034676 4:-2.457094 5:-1.099950 6:0.986759 7:0.241333 8:0.261628 9:-0.499359 10:-0.484221 11:0.091991 12:-0.137911 13:-0.478368 14:0.639857 15:0.253859 16:-0.653699 17:0.131913 18:0.490866 19:0.524569 20:-0.357884 21:-0.317344 22:0.243456 23:0.055785 24:-0.082124 25:0.040352 26:0.310841 27:-0.105545 28:-0.063022 29:0.041968 30:0.084923 31:0.439191 32:-0.008464 33:-0.141999 34:-0.071810 35:-0.084335 36:-0.202018 37:0.038110 38:-0.184627 39:-0.080521 40:0.024856 41:-0.114264 42:-0.171059 43:0.061520 44:-0.125484 45:-0.050638 46:-0.048928 47:-0.080493 48:0.084400 49:-0.065373 50:-0.001807 51:-0.048476 52:0.022472 53:-0.022452 54:-0.056401 55:-0.137741 56:0.133318 57:-0.051892 58:0.041078 59:0.024621 60:-0.051885 61:-0.030458 62:-0.017009 63:-0.050900 64:-0.011711 65:-0.047791 66:0.049647 
-1 1:-5.291782 2:0.632517 3:-0.890151 4:-0.338020 5:-0.018359 6:-0.993709 7:0.376836 8:-0.470826 9:0.339599 10:-0.097154 11:0.300062 12:0.120620 13:0.061035 14:0.055270 15:0.238183 16:-0.115545 17:0.099221 18:-0.151860 19:0.371709 20:0.050609 21:-0.142363 22:-0.045519 23:0.252519 24:-0.092854 25:-0.008448 26:-0.352564 27:-0.092028 28:0.015764 29:0.095363 30:0.050808 31:-0.182633 32:-0.107318 33:0.045930 34:0.086070 35:-0.154673 36:-0.135764 37:0.067239 38:0.017923 39:-0.023598 40:-0.021235 41:-0.220721 42:0.081808 43:0.042077 44:-0.160792 45:-0.056099 46:-0.018519 47:0.028585 48:0.055253 49:-0.001608 50:-0.084214 51:0.089117 52:0.104006 53:0.245032 54:-0.082700 55:0.116991 56:0.115775 57:0.000627 58:-0.009853 59:0.010164 60:0.079810 61:0.003933 62:0.073232 63:0.034166 64:0.009540 65:0.005760 66:-0.132406 
-1 1:-2.192506 2:0.169462 3:-0.213423 4:-1.664723 5:-2.481041 6:0.482669 7:1.096156 8:0.325914 9:-0.230760 10:0.051323 11:0.489673 12:0.802266 13:-0.106408 14:0.223034 15:-0.085879 16:-0.152837 17:-0.119689 18:0.033108 19:0.278645 20:0.193723 21:0.042044 22:-0.093736 23:0.134501 24:-0.085455 25:-0.187908 26:0.010162 27:-0.315410 28:0.039257 29:-0.106398 30:-0.139773 31:-0.051488 32:-0.200316 33:0.240554 34:0.110457 35:0.190821 36:-0.013341 37:0.113602 38:0.049884 39:-0.121575 40:0.113728 41:0.195733 42:0.119658 43:-0.052650 44:0.074325 45:0.011584 46:-0.081607 47:0.043646 48:-0.082839 49:0.093712 50:-0.053404 51:-0.005266 52:0.031212 53:0.033439 54:0.065618 55:-0.012948 56:0.015225 57:0.044333 58:0.066099 59:-0.031673 60:-0.067008 61:0.026249 62:0.055518 63:0.005815 64:-0.015284 65:-0.154415 66:0.023350 
-1 1:-1.013852 2:1.683834 3:-1.627431 4:-1.621837 5:-0.885955 6:0.117534 7:0.256107 8:-0.490296 9:-0.108731 10:0.395004 11:-0.305541 12:0.085457 13:0.784307 14:-0.173986 15:0.058706 16:0.053011 17:0.047447 18:-0.232178 19:-0.041789 20:0.200786 21:0.081873 22:0.003562 23:-0.046256 24:0.089970 25:0.010743 26:-0.029306 27:0.080276 28:0.029358 29:0.006450 30:0.025080 31:0.059266 32:0.060048 33:-0.067637 34:0.077830 35:-0.175364 36:-0.092453 37:-0.156519 38:0.030380 39:-0.039409 40:-0.087754 41:0.075707 42:0.099290 43:0.015003 44:-0.076754 45:0.062565 46:-0.002614 47:-0.015820 48:0.102773 49:0.073896 50:-0.062599 51:0.031478 52:-0.158400 53:-0.023454 54:0.015922 55:-0.153550 56:-0.022308 57:0.020659 58:0.000309 59:-0.057995 60:0.041478 61:0.038435 62:0.099377 63:-0.029151 64:0.175163 65:0.003361 66:-0.059980 
-1 1:-5.026732 2:0.735347 3:-1.824203 4:0.560870 5:-0.171760 6:-1.107395 7:0.728259 8:-0.634898 9:0.234427 10:0.697195 11:0.589170 12:0.003797 13:0.376496 14:0.433146 15:0.645583 16:-0.021657 17:0.050534 18:-0.109546 19:-0.428358 20:-0.215473 21:-0.076496 22:-0.281013 23:-0.283036 24:0.171336 25:-0.222757 26:-0.124510 27:0.222998 28:0.134159 29:-0.019002 30:0.013120 31:-0.103864 32:0.117950 33:-0.052509 34:0.104195 35:0.118215 36:0.064340 37:0.017209 38:0.133799 39:-0.043995 40:-0.018069 41:-0.026240 42:-0.007212 43:-0.012190 44:-0.114363 45:-0.012688 46:-0.029771 47:-0.127939 48:-0.133196 49:-0.243274 50:0.156683 51:-0.098532 52:0.163290 53:-0.044694 54:0.120071 55:-0.039086 56:-0.011940 57:-0.063009 58:-0.049117 59:0.056297 60:0.027072 61:-0.011364 62:0.077687 63:-0.007733 64:0.033994 65:-0.027591 66:0.043784 
-1 1:-2.099573 2:0.265084 3:-4.533936 4:2.268316 5:0.119744 6:-1.548944 7:-0.583285 8:-0.950357 9:-0.335972 10:-0.933840 11:0.235017 12:1.089631 13:-0.135223 14:-0.900324 15:-0.373288 16:-0.598560 17:-0.786515 18:-0.137323 19:-0.202956 20:0.156603 21:0.399192 22:0.182215 23:-0.099480 24:0.342784 25:-0.231595 26:0.378860 27:0.344638 28:0.118681 29:-0.125187 30:-0.017581 31:0.027626 32:-0.012856 33:-0.355211 34:-0.188183 35:0.152441 36:0.139558 37:0.173904 38:0.008576 39:0.229781 40:-0.115856 41:-0.031511 42:0.038791 43:-0.016227 44:-0.094974 45:-0.073415 46:0.099104 47:-0.062893 48:0.040313 49:0.077247 50:-0.053247 51:-0.005605 52:-0.022698 53:0.052142 54:0.009026 55:-0.013320 56:0.014834 57:0.119284 58:-0.002214 59:0.052871 60:-0.023912 61:-0.030753 62:0.027537 63:-0.014425 64:-0.028629 65:-0.028452 66:-0.133863 
-1 1:-7.802457 2:-0.365798 3:0.939500 4:1.207462 5:0.647519 6:0.358535 7:-0.564116 8:-0.159920 9:0.560745 10:-0.417293 11:0.299119 12:0.574522 13:0.360961 14:0.737799 15:0.221640 16:-0.158449 17:-0.110651 18:0.399122 19:0.292039 20:0.585960 21:0.271460 22:0.072465 23:-0.330453 24:-0.330489 25:0.482810 26:-0.128426 27:0.047064 28:0.135370 29:0.080770 30:-0.265129 31:0.084065 32:0.244280 33:-0.071868 34:0.080257 35:-0.005882 36:-0.027304 37:0.038909 38:-0.115774 39:0.118645 40:0.030230 41:0.229745 42:0.124741 43:0.207365 44:-0.174300 45:0.250375 46:-0.047255 47:-0.067057 48:0.013662 49:0.030039 50:0.049124 51:-0.055552 52:-0.043073 53:0.049397 54:0.027786 55:0.087187 56:0.007038 57:-0.034186 58:-0.011953 59:0.001967 60:0.001591 61:-0.000817 62:-0.040380 63:-0.048886 64:-0.031087 65:0.006049 66:-0.288772 
